\database\database_achieveInfo.msbt
AchieveName_001	{r[ひゃくせんれんま]}百戦錬磨{/r}
AchieveFirstBorder_001	スシバトルで%d{r[しょう]}勝{/r}しよう！
AchieveInfo_001	スシバトルで%d{r[しょう]}勝{/r}した！
AchieveName_002	{r[せっさたくま]}切磋琢磨{/r}
AchieveFirstBorder_002	{r[つうしんたいせん]}通信対戦{/r}で%d{r[しょう]}勝{/r}しよう！
AchieveFirstBorder_002_sgl	{r[つうしんたいせん]}通信対戦{/r}で%d{r[しょう]}勝{/r}しよう！
AchieveInfo_002	{r[つうしんたいせん]}通信対戦{/r}で%d{r[しょう]}勝{/r}した！
AchieveInfo_002_sgl	{r[つうしんたいせん]}通信対戦{/r}で%d{r[しょう]}勝{/r}した！
AchieveName_003	スシ{r[ライカー]}愛好家{/r}
AchieveFirstBorder_003	スシを%d{r[こ]}個{/r}{r[た]}食{/r}べよう！
AchieveInfo_003	スシを%d{r[こ]}個{/r}{r[た]}食{/r}べた！
AchieveName_004	フルーツ{r[ライカー]}愛好家{/r}
AchieveFirstBorder_004	フルーツを%d{r[こ]}個{/r}{r[た]}食{/r}べよう！
AchieveInfo_004	フルーツを%d{r[こ]}個{/r}{r[た]}食{/r}べた！
AchieveName_005	スイーツ{r[ライカー]}愛好家{/r}
AchieveFirstBorder_005	スイーツを%d{r[こ]}個{/r}{r[た]}食{/r}べよう！
AchieveInfo_005	スイーツを%d{r[こ]}個{/r}{r[た]}食{/r}べた！
AchieveName_006	スシに{r[あい]}愛{/r}された{r[もの]}者{/r}
AchieveFirstBorder_006	スシガミ%d{r[たい]}体{/r}と{r[けいやく]}契約{/r}しよう！
AchieveInfo_006	スシガミ%d{r[たい]}体{/r}と{r[けいやく]}契約{/r}した！
AchieveName_007	スシはかせ
AchieveFirstBorder_007_sgl	スシパワーを%d{r[しゅるい]}種類{/r}{r[かくとく]}獲得{/r}しよう！
AchieveInfo_007	スシパワーを%d{r[しゅるい]}種類{/r}{r[かくとく]}獲得{/r}した！
AchieveInfo_007_sgl	スシパワーを%d{r[しゅるい]}種類{/r}{r[かくとく]}獲得{/r}した！
AchieveName_008	スターコレクター
AchieveFirstBorder_008	スターを%d{r[こ]}個{/r}{r[あつ]}集{/r}めよう！
AchieveInfo_008	スターを%d{r[こ]}個{/r}{r[あつ]}集{/r}めた！
AchieveName_009	S{r[きゅう]}級{/r}スシライカー
AchieveFirstBorder_009	ランクＳを%d{r[こ]}個{/r}{r[かくとく]}獲得{/r}しよう！
AchieveInfo_009	ランクＳを%d{r[こ]}個{/r}{r[かくとく]}獲得{/r}した！
AchieveName_010	レインボーロード
AchieveFirstBorder_010	レインボーＳを%d{r[こ]}個{/r}{r[かくとく]}獲得{/r}しよう！
AchieveInfo_010	レインボーＳを%d{r[こ]}個{/r}{r[かくとく]}獲得{/r}した！
AchieveName_011	スシガミマスター
AchieveFirstBorder_011	スシガミを%d{r[たいさいだい]}体最大{/r}レベルにしよう！
AchieveFirstBorder_011_sgl	スシガミを%d{r[たいさいだい]}体最大{/r}レベルにしよう！
AchieveInfo_011	スシガミを%d{r[たいさいだい]}体最大{/r}レベルにした！
AchieveInfo_011_sgl	スシガミを%d{r[たいさいだい]}体最大{/r}レベルにした！
AchieveName_012	タワービルダー
AchieveFirstBorder_012	スシ{r[ざら]}皿{/r}を%d{r[さら]}皿{/r}つみ{r[あ]}上{/r}げよう！
AchieveInfo_012	スシ{r[ざら]}皿{/r}を%d{r[さら]}皿{/r}つみ{r[あ]}上{/r}げた！
AchieveName_013	マキシマムアタック
AchieveFirstBorder_013	{r[いちげき]}一撃{/r}で%dダメージ{r[あた]}与{/r}えよう！
AchieveInfo_013	{r[いちげき]}一撃{/r}で%dダメージ{r[あた]}与{/r}えた！
AchieveName_014	コンボマスター
AchieveFirstBorder_014	コンボボーナスで%dダメージ{r[あた]}与{/r}えよう！
AchieveInfo_014	コンボボーナスで%dダメージ{r[あた]}与{/r}えた！
AchieveName_015	オーバーキラー
AchieveFirstBorder_015	とどめのアタックで%dダメージ{r[あた]}与{/r}えよう！
AchieveInfo_015	とどめのアタックで%dダメージ{r[あた]}与{/r}えた！
AchieveName_016	スシパズラー
AchieveFirstBorder_016	パズルタワーで%d{r[しょう]}勝{/r}かちぬこう！
AchieveInfo_016	パズルタワーで%d{r[しょう]}勝{/r}かちぬいた！
AchieveName_017	ブラックベルト
AchieveFirstBorder_017	{r[くろおび]}黒帯{/r}マークを%d{r[こ]}個{/r}{r[かくとく]}獲得{/r}しよう！
AchieveInfo_017	{r[くろおび]}黒帯{/r}マークを%d{r[こ]}個{/r}{r[かくとく]}獲得{/r}した！
\database\database_adviceInfo.msbt
