\database\database_area.msbt
areaName_area01	共和国
areaName_area02	海岸エリア
areaName_area03	火山エリア
areaName_area04	帝国西エリア
areaName_area04Sub	帝国西エリア奥地
areaName_area04Camp	野営キャンプ
areaName_area05	雪山エリア
areaName_area06	帝国本土エリア
areaName_area06Sub	帝国南エリア
areaName_area07	帝国宮殿
areaName_area08	謎の小島
areaName_area50	スシロー島エリア
areaName_home	鎮守の森のかくれ里
areaText_area01	暖かな気候の自然ゆたかな国。\n世界スシ大戦で帝国に敗北。\n目ぼしいスシをすべてうばわれ、\nスシ不毛の地と言われていたが…
areaText_area02	まぶしい太陽が照りつける地域。\n帝国の支配下にある。\nかつてリゾートだった島・コドー\nも今や帝国軍の砦となっている。
areaText_area03	燃えたぎる活火山・百鬼火山の\nある地域。帝国の支配下にある。\n南には温泉、北には宝石鉱山が\nあり、意外にもにぎわっている。
areaText_area04	かつて遊牧民がくらしていた乾燥\n地帯だが、今は豊かな農地に。\n帝国本土へ続く橋は、難攻不落の\n要塞ナバによって守られている。
areaText_area04Sub	帝国の支配の目がゆきとどき\nにくい西の奥地には、共和国\nだったころの文化が今も残り、\nかくれ神社も存在するという。
areaText_area04Camp	スシ解放戦線の帝国西部攻略の\n拠点となっているキャンプ。\n作戦は順調に進んでいるかの\nように見えたのだが…。
areaText_area05	一年を通して雪深い山、六花山を\n中心とした地域。山を越えた先の\n小島には、帝国軍の秘密施設が\nあると言われている…。
areaText_area06	針葉樹の森を切り開いて作られた\n広大な国土は、テクノロジーと\nきびしい統制で発展をとげた。\nその東部には首都と宮殿がある。
areaText_area06Sub	豊かなスシ資源を求めた帝国が\n南進して支配下に入れた土地。\n南端にある軍事施設では、秘密の\n研究が行われているという…。
areaText_area07	帝国を統べる皇帝の居城であり、\n帝国軍の総司令部がおかれている\n漆黒の城。古来より続く皇帝直属\nの親衛隊によって守られている。
areaText_area08	鎮守の森と同様、スシ信仰の\n遺跡が残る小さな島。\n無人の島のはずが、最近ここで\n謎の爆発があったらしい…。
areaText_area50	突如、海のかなたに現れた島々…。\nしかし帝国はそれをいち早く占拠。\nその情報をキャッチしたムサシは、\n島への上陸を果たすが…。
