\database\database_achieveInfo.msbt
AchieveName_001	百戦錬磨
AchieveFirstBorder_001	スシバトルで%d勝しよう！
AchieveInfo_001	スシバトルで%d勝した！
AchieveName_002	切磋琢磨
AchieveFirstBorder_002	通信対戦で%d勝しよう！
AchieveFirstBorder_002_sgl	通信対戦で%d勝しよう！
AchieveInfo_002	通信対戦で%d勝した！
AchieveInfo_002_sgl	通信対戦で%d勝した！
AchieveName_003	スシ愛好家
AchieveFirstBorder_003	スシを%d個食べよう！
AchieveInfo_003	スシを%d個食べた！
AchieveName_004	フルーツ愛好家
AchieveFirstBorder_004	フルーツを%d個食べよう！
AchieveInfo_004	フルーツを%d個食べた！
AchieveName_005	スイーツ愛好家
AchieveFirstBorder_005	スイーツを%d個食べよう！
AchieveInfo_005	スイーツを%d個食べた！
AchieveName_006	スシに愛された者
AchieveFirstBorder_006	スシガミ%d体と契約しよう！
AchieveInfo_006	スシガミ%d体と契約した！
AchieveName_007	スシはかせ
AchieveFirstBorder_007_sgl	スシパワーを%d種類獲得しよう！
AchieveInfo_007	スシパワーを%d種類獲得した！
AchieveInfo_007_sgl	スシパワーを%d種類獲得した！
AchieveName_008	スターコレクター
AchieveFirstBorder_008	スターを%d個集めよう！
AchieveInfo_008	スターを%d個集めた！
AchieveName_009	S級スシライカー
AchieveFirstBorder_009	ランクＳを%d個獲得しよう！
AchieveInfo_009	ランクＳを%d個獲得した！
AchieveName_010	レインボーロード
AchieveFirstBorder_010	レインボーＳを%d個獲得しよう！
AchieveInfo_010	レインボーＳを%d個獲得した！
AchieveName_011	スシガミマスター
AchieveFirstBorder_011	スシガミを%d体最大レベルにしよう！
AchieveFirstBorder_011_sgl	スシガミを%d体最大レベルにしよう！
AchieveInfo_011	スシガミを%d体最大レベルにした！
AchieveInfo_011_sgl	スシガミを%d体最大レベルにした！
AchieveName_012	タワービルダー
AchieveFirstBorder_012	スシ皿を%d皿つみ上げよう！
AchieveInfo_012	スシ皿を%d皿つみ上げた！
AchieveName_013	マキシマムアタック
AchieveFirstBorder_013	一撃で%dダメージ与えよう！
AchieveInfo_013	一撃で%dダメージ与えた！
AchieveName_014	コンボマスター
AchieveFirstBorder_014	コンボボーナスで%dダメージ与えよう！
AchieveInfo_014	コンボボーナスで%dダメージ与えた！
AchieveName_015	オーバーキラー
AchieveFirstBorder_015	とどめのアタックで%dダメージ与えよう！
AchieveInfo_015	とどめのアタックで%dダメージ与えた！
AchieveName_016	スシパズラー
AchieveFirstBorder_016	パズルタワーで%d勝かちぬこう！
AchieveInfo_016	パズルタワーで%d勝かちぬいた！
AchieveName_017	ブラックベルト
AchieveFirstBorder_017	黒帯マークを%d個獲得しよう！
AchieveInfo_017	黒帯マークを%d個獲得した！
\database\database_adviceInfo.msbt
AdviceInfo_001	スシ皿は短く何度もつなげるより、\nとにかく長くつなげた方が有利じゃ！
AdviceInfo_002	スシは見のがしてしまっても大丈夫。\n長くつなげることを心がけるのじゃ。
AdviceInfo_003	たくさんの皿をつなぐほど、\n祭ゲージの上がり方も大きいのじゃ！
AdviceInfo_004	スシ祭中は皿シュートで敵に与える\nダメージが1.5倍になるのじゃ！
AdviceInfo_005	同じスシだけで皿をつなげると、\nいつもより攻撃力が３割アップじゃ！
AdviceInfo_006	７皿以上つなげると、最後に皿を取った\nレーンに虹皿が出てくるのじゃ！
AdviceInfo_007	虹皿をふくめて積まれた皿は、\n敵の攻撃でも決してくずれないのじゃ！
AdviceInfo_008	スシガミのレベルがアップすると、\n出す皿のグレードが上がっていくぞ！
AdviceInfo_009	同じ色の皿を続けて当てるとコンボと\nなり、与えるダメージが増えるのじゃ！
AdviceInfo_010	フルーツを食べると、HPが少し回復\nする。覚えておくといいじゃろう…。
AdviceInfo_011	「バトルの極意」にはバトルで勝つ\nためのヒントが満載じゃぞ！
AdviceInfo_012	「スキルのおふだ」をスシガミに使う\nと、スキルLvをアップできるのじゃ！
AdviceInfo_013	勝てぬ時は以前のステージでスターを\n集めて経験をつむのもいいぞ…
AdviceInfo_014	偉業を達成し、スシライカーランクを\n上げればスシガミと契約しやすくなる。
AdviceInfo_015	「スシライカーランク」ボタンを押すと\n次のランクまでの条件がわかるのじゃ。
AdviceInfo_016	スシライカーランクが上げられる時…\nスシガミ神社に！マークが出るのじゃ。
\database\database_area.msbt
areaName_area01	共和国
areaName_area02	海岸エリア
areaName_area03	火山エリア
areaName_area04	帝国西エリア
areaName_area04Sub	帝国西エリア奥地
areaName_area04Camp	野営キャンプ
areaName_area05	雪山エリア
areaName_area06	帝国本土エリア
areaName_area06Sub	帝国南エリア
areaName_area07	帝国宮殿
areaName_area08	謎の小島
areaName_home	鎮守の森のかくれ里
areaText_area01	暖かな気候の自然ゆたかな国。\n世界スシ大戦で帝国に敗北。\n目ぼしいスシをすべてうばわれ、\nスシ不毛の地と言われていたが…
areaText_area02	まぶしい太陽が照りつける地域。\n帝国の支配下にある。\nかつてリゾートだった島・コドー\nも今や帝国軍の砦となっている。
areaText_area03	燃えたぎる活火山・百鬼火山の\nある地域。帝国の支配下にある。\n南には温泉、北には宝石鉱山が\nあり、意外にもにぎわっている。
areaText_area04	かつて遊牧民がくらしていた乾燥\n地帯だが、今は豊かな農地に。\n帝国本土へ続く橋は、難攻不落の\n要塞ナバによって守られている。
areaText_area04Sub	帝国の支配の目がゆきとどき\nにくい西の奥地には、共和国\nだったころの文化が今も残り、\nかくれ神社も存在するという。
areaText_area04Camp	スシ解放戦線の帝国西部攻略の\n拠点となっているキャンプ。\n作戦は順調に進んでいるかの\nように見えたのだが…。
areaText_area05	一年を通して雪深い山、六花山を\n中心とした地域。山を越えた先の\n小島には、帝国軍の秘密施設が\nあると言われている…。
areaText_area06	針葉樹の森を切り開いて作られた\n広大な国土は、テクノロジーと\nきびしい統制で発展をとげた。\nその東部には首都と宮殿がある。
areaText_area06Sub	豊かなスシ資源を求めた帝国が\n南進して支配下に入れた土地。\n南端にある軍事施設では、秘密の\n研究が行われているという…。
areaText_area07	帝国を統べる皇帝の居城であり、\n帝国軍の総司令部がおかれている\n漆黒の城。古来より続く皇帝直属\nの親衛隊によって守られている。
areaText_area08	鎮守の森と同様、スシ信仰の\n遺跡が残る小さな島。\n無人の島のはずが、最近ここで\n謎の爆発があったらしい…。
\database\database_chapter.msbt
chapterName_chapter01	第1章
chapterName_chapter02	第2章
chapterName_chapter03	第3章
chapterName_chapter04	第4章
chapterName_chapter04_02	第4章
chapterName_chapter05	第5章
chapterName_chapter06	第6章
chapterName_chapter06_02	第6章
chapterName_chapter07	第7章
chapterName_chapter08	第8章
chapterName_chapter09	第9章
\database\database_cmn.msbt
SushiName_None	なし
SushiName_Kappa	カッパ巻き
SushiFavPowerName_Kappa	カリウム
SushiFavPowerName_Kappa_lc	カリウム
SushiName_Tamago	たまご
SushiFavPowerName_Tamago	ビオチン
SushiFavPowerName_Tamago_lc	ビオチン
SushiName_Inari	いなりずし
SushiFavPowerName_Inari	モリブデン
SushiFavPowerName_Inari_lc	モリブデン
SushiName_CornWarship	コーン軍艦
SushiFavPowerName_CornWarship	リノールサン
SushiFavPowerName_CornWarship_lc	リノールサン
SushiName_Aji	アジ
